date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:42	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:17:40%20GMT	http://ninja-checker.herokuapp.com/robots.txt		(from )
18:47:42	13997/13997	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:17:39%20GMT	http://ninja-checker.herokuapp.com/checker.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/checker.html	(from )
18:47:47	140930/140930	---M--	200	added ('OK')	text/css	etag:%2222682-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/bootstrap.min.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/bootstrap.min.css	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:49	31450/31450	---M--	200	added ('OK')	text/css	etag:%227ada-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/font-awesome.min.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/font-awesome.min.css	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:50	2501/2501	---M--	200	added ('OK')	text/css	etag:%229c5-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/fontastic.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/fontastic.css	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:51	3462/3462	---M--	200	added ('OK')	text/html	etag:%22d86-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/css.html	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:54	88197/88197	---M--	200	added ('OK')	text/css	etag:%2215885-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/style.default.premium.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/style.default.premium.css	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:54	83/83	---M--	200	added ('OK')	text/css	etag:%2253-5b00f8857b280%22	http://ninja-checker.herokuapp.com/arquivos/custom.css	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/arquivos/custom.css	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Dec%202020%2013:17:52%20GMT	http://ninja-checker.herokuapp.com/blop.mp3	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/blop.mp3	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:56	6112/6112	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:17:53%20GMT	http://ninja-checker.herokuapp.com/About.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/About.html	(from http://ninja-checker.herokuapp.com/checker.php)
18:47:59	12986/12986	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Dec%202020%2013:17:55%20GMT	http://ninja-checker.herokuapp.com/skcheck.php	C:/My%20Web%20Sites/Ninja/ninja-checker.herokuapp.com/skcheck.html	(from http://ninja-checker.herokuapp.com/checker.php)
